timeout_team,team_name,"=""timeout_team ==""&""''""&A1&""'' ~ ''""&B1&""'',"""
af,Air Force,"timeout_team == ''af'' ~ ''air force'',"
air force academy,Air Force,"timeout_team == ''air force academy'' ~ ''air force'',"
air force falcons,Air Force,"timeout_team == ''air force falcons'' ~ ''air force'',"
arkansas st.,Arkansas State,"timeout_team == ''arkansas st.'' ~ ''arkansas state'',"
asu,Arkansas State,"timeout_team == ''asu'' ~ ''arkansas state'',"
ball state cardinals,Ball State,"timeout_team == ''ball state cardinals'' ~ ''ball state'',"
bgsu,Bowling Green,"timeout_team == ''bgsu'' ~ ''bowling green'',"
brigham young,BYU,"timeout_team == ''brigham young'' ~ ''byu'',"
byu cougars,BYU,"timeout_team == ''byu cougars'' ~ ''byu'',"
centrl michigan,Central Michigan,"timeout_team == ''centrl michigan'' ~ ''central michigan'',"
cmu,Central Michigan,"timeout_team == ''cmu'' ~ ''central michigan'',"
coastl carolina,Coastal Carolina,"timeout_team == ''coastl carolina'' ~ ''coastal carolina'',"
cs,Colorado State,"timeout_team == ''cs'' ~ ''colorado state'',"
eastrn michigan,Eastern Michigan,"timeout_team == ''eastrn michigan'' ~ ''eastern michigan'',"
ecu,East Carolina,"timeout_team == ''ecu'' ~ ''east carolina'',"
emu,Eastern Michigan,"timeout_team == ''emu'' ~ ''eastern michigan'',"
fau,Florida Atlantic,"timeout_team == ''fau'' ~ ''florida atlantic'',"
fiu,Florida International,"timeout_team == ''fiu'' ~ ''florida international'',"
fla atlantic,Florida Atlantic,"timeout_team == ''fla atlantic'' ~ ''florida atlantic'',"
florida intl,Florida International,"timeout_team == ''florida intl'' ~ ''florida international'',"
floridainternational,Florida International,"timeout_team == ''floridainternational'' ~ ''florida international'',"
fresno st.,Fresno State,"timeout_team == ''fresno st.'' ~ ''fresno state'',"
ga southern,Georgia Southern,"timeout_team == ''ga southern'' ~ ''georgia southern'',"
gsu,Georgia State,"timeout_team == ''gsu'' ~ ''georgia state'',"
hawai`i,Hawai'i,"timeout_team == ''hawai`i'' ~ ''hawai'i'',"
hawaii,Hawai'i,"timeout_team == ''hawaii'' ~ ''hawai'i'',"
iowa hawkeyes,Iowa,"timeout_team == ''iowa hawkeyes'' ~ ''iowa'',"
las vegas,UNLV,"timeout_team == ''las vegas'' ~ ''unlv'',"
latech,Louisiana Tech,"timeout_team == ''latech'' ~ ''louisiana tech'',"
louisiana lafayette,Louisiana,"timeout_team == ''louisiana lafayette'' ~ ''louisiana'',"
louisiana state,LSU,"timeout_team == ''louisiana state'' ~ ''lsu'',"
louisiana-lafayette,Louisiana,"timeout_team == ''louisiana-lafayette'' ~ ''louisiana'',"
massachusetts,UMass,"timeout_team == ''massachusetts'' ~ ''umass'',"
miami (fla.),Miami,"timeout_team == ''miami (fla.)'' ~ ''miami'',"
miami (ohio),Miami (OH),"timeout_team == ''miami (ohio)'' ~ ''miami (oh)'',"
miami fl,Miami,"timeout_team == ''miami fl'' ~ ''miami'',"
miami florida,Miami,"timeout_team == ''miami florida'' ~ ''miami'',"
miami oh,Miami (OH),"timeout_team == ''miami oh'' ~ ''miami (oh)'',"
miami ohio,Miami (OH),"timeout_team == ''miami ohio'' ~ ''miami (oh)'',"
middle tenn st,Middle Tennessee,"timeout_team == ''middle tenn st'' ~ ''middle tennessee'',"
minnesota gophers,Minnesota,"timeout_team == ''minnesota gophers'' ~ ''minnesota'',"
mississippi,Ole Miss,"timeout_team == ''mississippi'' ~ ''ole miss'',"
mt,Middle Tennessee,"timeout_team == ''mt'' ~ ''middle tennessee'',"
n.c. state,NC State,"timeout_team == ''n.c. state'' ~ ''nc state'',"
NA,,"timeout_team == ''NA'' ~ '''',"
niu,Northern Illinois,"timeout_team == ''niu'' ~ ''northern illinois'',"
nm state,New Mexico State,"timeout_team == ''nm state'' ~ ''new mexico state'',"
nmsu,New Mexico State,"timeout_team == ''nmsu'' ~ ''new mexico state'',"
north carolina st,NC State,"timeout_team == ''north carolina st'' ~ ''nc state'',"
northernil,Northern Illinois,"timeout_team == ''northernil'' ~ ''northern illinois'',"
ohio bobcats,Ohio,"timeout_team == ''ohio bobcats'' ~ ''ohio'',"
ohio university,Ohio,"timeout_team == ''ohio university'' ~ ''ohio'',"
olddominion,Old Dominion,"timeout_team == ''olddominion'' ~ ''old dominion'',"
ole ole miss,Ole Miss,"timeout_team == ''ole ole miss'' ~ ''ole miss'',"
oregon st.,Oregon State,"timeout_team == ''oregon st.'' ~ ''oregon state'',"
rice owls,Rice,"timeout_team == ''rice owls'' ~ ''rice'',"
san jose st,San José State,"timeout_team == ''san jose st'' ~ ''san josé state'',"
san jose state,San José State,"timeout_team == ''san jose state'' ~ ''san josé state'',"
sj,San José State,"timeout_team == ''sj'' ~ ''san josé state'',"
sjsu,San José State,"timeout_team == ''sjsu'' ~ ''san josé state'',"
smu mustangs,SMU,"timeout_team == ''smu mustangs'' ~ ''smu'',"
southern  miss,Southern Mississippi,"timeout_team == ''southern  miss'' ~ ''southern mississippi'',"
southern cal,USC,"timeout_team == ''southern cal'' ~ ''usc'',"
southern methodist university,SMU,"timeout_team == ''southern methodist university'' ~ ''smu'',"
temple owls,Temple,"timeout_team == ''temple owls'' ~ ''temple'',"
temple university,Temple,"timeout_team == ''temple university'' ~ ''temple'',"
texas el paso,UTEP,"timeout_team == ''texas el paso'' ~ ''utep'',"
texas state university,Texas State,"timeout_team == ''texas state university'' ~ ''texas state'',"
texassan,UT San Antonio,"timeout_team == ''texassan'' ~ ''ut san antonio'',"
texas-san antonio,UT San Antonio,"timeout_team == ''texas-san antonio'' ~ ''ut san antonio'',"
tls,Tulsa,"timeout_team == ''tls'' ~ ''tulsa'',"
troy university,Troy,"timeout_team == ''troy university'' ~ ''troy'',"
tulane green wave,Tulane,"timeout_team == ''tulane green wave'' ~ ''tulane'',"
uh,Hawai'i,"timeout_team == ''uh'' ~ ''hawai'i'',"
ui,Idaho,"timeout_team == ''ui'' ~ ''idaho'',"
ul,Louisiana,"timeout_team == ''ul'' ~ ''louisiana'',"
ul lafayette,Louisiana,"timeout_team == ''ul lafayette'' ~ ''louisiana'',"
ul monroe,Louisiana Monroe,"timeout_team == ''ul monroe'' ~ ''louisiana monroe'',"
ull,Louisiana,"timeout_team == ''ull'' ~ ''louisiana'',"
ulm,Louisiana Monroe,"timeout_team == ''ulm'' ~ ''louisiana monroe'',"
university of idaho,Idaho,"timeout_team == ''university of idaho'' ~ ''idaho'',"
usa,South Alabama,"timeout_team == ''usa'' ~ ''south alabama'',"
usf,South Florida,"timeout_team == ''usf'' ~ ''south florida'',"
usm,Southern Mississippi,"timeout_team == ''usm'' ~ ''southern mississippi'',"
usu,Utah State,"timeout_team == ''usu'' ~ ''utah state'',"
utsa,UT San Antonio,"timeout_team == ''utsa'' ~ ''ut san antonio'',"
washington st.,Washington State,"timeout_team == ''washington st.'' ~ ''washington state'',"
west virginia university,West Virginia,"timeout_team == ''west virginia university'' ~ ''west virginia'',"
westrn kentucky,Western Kentucky,"timeout_team == ''westrn kentucky'' ~ ''western kentucky'',"
westrn michigan,Western Michigan,"timeout_team == ''westrn michigan'' ~ ''western michigan'',"
wfu,Wake Forest,"timeout_team == ''wfu'' ~ ''wake forest'',"
wku,Western Kentucky,"timeout_team == ''wku'' ~ ''western kentucky'',"
wmu,Western Michigan,"timeout_team == ''wmu'' ~ ''western michigan'',"
wsu,Washington State,"timeout_team == ''wsu'' ~ ''washington state'',"
wyoming cowboys,Wyoming,"timeout_team == ''wyoming cowboys'' ~ ''wyoming'',"
